pub_date,headline,abstract,section,web_url
2006-01-01T05:00:00+0000,russia cuts flow of natural gas to ukraine,talks over pricing and transit terms unraveled into a bald political conflict that could carry consequences for gas supplies to western europe.,World,https://www.nytimes.com/2006/01/01/international/europe/russia-cuts-flow-of-natural-gas-to-ukraine.html
2006-01-01T05:00:00+0000,"in china, the jolt of a life and a death",,World,https://www.nytimes.com/2006/01/01/world/asia/in-china-the-jolt-of-a-life-and-a-death.html
2006-01-01T05:00:00+0000,districts know the value of real estate agents,"school calendars are usually punctuated with open houses for parents. but a recent open house at new rochelle high school was slightly different, showcasing its newly completed wing and the district's distinctive programs and accomplishments to a similarly invested audience: local real estate agents.      ''people move into westchester because of the strong public school system,'' said linda e. kelly, superintendent of the new rochelle city district. ''realtors want to know about the strengths of new rochelle.''  ",New York,https://www.nytimes.com/2006/01/01/nyregion/nyregionspecial2/districts-know-the-value-of-real-estate-agents.html
2006-01-01T05:00:00+0000,china and japan intensify dispute in official's death,,World,https://www.nytimes.com/2006/01/01/world/asia/china-and-japan-intensify-dispute-in-officials-death.html
2006-01-01T05:00:00+0000,president of taiwan hardens china line,,World,https://www.nytimes.com/2006/01/01/world/asia/president-of-taiwan-hardens-china-line.html
2006-01-01T05:00:00+0000,"antidepressants seem to cut suicide risk in teenagers and adults, study says","study of 65,000 patients published by american journal of psychiatry reports that treatment with antidepressant drugs appears to reduce risk of suicide in depressed teenagers and adults; some psychiatrists say drugs are underprescribed since food and drug administration warning in 2004; second study published finds recovery rate for patients taking antidepressant citalopram, marketed as celexa, comparable with those taking placebo (m)",U.S.,https://www.nytimes.com/2006/01/01/health/antidepressants-seem-to-cut-suicide-risk-in-teenagers-and-adults.html
2006-01-01T05:00:00+0000,greenspan made an art out of taming inflation,,Business Day,https://www.nytimes.com/2006/01/01/business/worldbusiness/greenspan-made-an-art-out-of-taming-inflation.html
2006-01-01T05:00:00+0000,russia cuts off gas supply to ukraine,,World,https://www.nytimes.com/2006/01/01/world/europe/russia-cuts-off-gas-supply-to-ukraine.html
2006-01-01T05:00:00+0000,correction,"a picture caption on the front page of this section last week about holiday parties given by real estate firms misidentified a woman dancing at the citi habitats party. she is andrea clark, not shira cohen.  ",Real Estate,https://www.nytimes.com/2006/01/01/realestate/pageoneplus/correction-956589.html
2006-01-01T05:00:00+0000,twists and turns in russia-ukraine gas dispute,,World,https://www.nytimes.com/2006/01/01/world/europe/twists-and-turns-in-russiaukraine-gas-dispute.html
2006-01-01T05:00:00+0000,blood flows with oil in poor nigerian villages,"niger river delta communities in nigeria have fought pitched battle for months for right to control potentially vast field of crude oil underneath village of obioku; conflict has left dozens dead and highlighted struggle of impoverished communities to win benefits from oil boom; nigeria sends 13 percent of its oil revenues back to states, but corrupt local officials siphon off much of that money; royal dutch shell signed agreement with local villagers to develop obioku, but agreement has sparked conflict with town of odioma, which also claims area; photos; map (l)",World,https://www.nytimes.com/2006/01/01/world/africa/blood-flows-with-oil-in-poor-nigerian-villages.html
2006-01-01T05:00:00+0000,gazprom halts gas shipments to ukraine,,Business Day,https://www.nytimes.com/2006/01/01/business/worldbusiness/gazprom-halts-gas-shipments-to-ukraine.html
2006-01-01T05:00:00+0000,moscow cuts flow of gas to ukraine,,World,https://www.nytimes.com/2006/01/01/world/europe/moscow-cuts-flow-of-gas-to-ukraine.html
2006-01-01T05:00:00+0000,putin offers 3-month extension of ukraine's gas subsidy,"russian pres vladimir putin tells natural gas monopoly gazprom to continue selling subsidized gas to ukraine until end of march if ukraine agrees to pay market prices beginning in april; gazprom had threatened to cut off gas on jan 1, causing european union to worry about its gas supply, much of which passes through ukraine's pipelines; russia has sought to raise ukraine's gas price from $50 per 1,000 cubic meters to as much as $230 following ukraine's westward tilt after presidential elections last year (m)",World,https://www.nytimes.com/2006/01/01/world/europe/putin-offers-3month-extension-of-ukraines-gas-subsidy.html
2006-01-02T05:00:00+0000,russia restores most of natural gas flow,,World,https://www.nytimes.com/2006/01/02/world/europe/russia-restores-most-of-natural-gas-flow.html
2006-01-02T05:00:00+0000,starbucks wins china trademark fight,,Business Day,https://www.nytimes.com/2006/01/02/business/worldbusiness/starbucks-wins-china-trademark-fight.html
2006-01-02T05:00:00+0000,russia cuts off gas to ukraine in cost dispute,russia cut off the natural gas intended for ukraine on sunday as talks over pricing and transit terms unraveled into a bald political conflict that carried consequences for ukraine's recovering economy and possibly for gas supplies to western europe.      the dispute comes a year after the orange revolution brought a pro-western government to power in ukraine. it ends a decade of post-soviet subsidies in the form of cheap energy that allowed russia to retain some influence over the former soviet republics.  ,World,https://www.nytimes.com/2006/01/02/world/europe/russia-cuts-off-gas-to-ukraine-in-cost-dispute.html
2006-01-02T05:00:00+0000,russia restores most of gas flow despite dispute with ukraine,"gazprom said ukraine had withdrawn gas from pipelines for its own use, putting customers in europe in jeopardy.",World,https://www.nytimes.com/2006/01/02/international/europe/russia-restores-most-of-gas-flow-despite-dispute-with.html
2006-01-02T05:00:00+0000,wal-mart's holiday growth may be at low end of forecast,"wal-mart stores, which mounted an unprecedented holiday marketing campaign featuring $400 laptops and celebrity-laden television commercials, is on track to post its weakest december sales growth in five years.      the discount giant estimated that sales at stores open for at least a year rose 2.2 percent. the results barely landed within the company's forecast of a 2 percent to 4 percent sales increase for the month, and indicated that wal-mart had its worst december since 2000, when sales rose 0.3 percent.  ",Business Day,https://www.nytimes.com/2006/01/02/business/walmarts-holiday-growth-may-be-at-low-end-of-forecast.html
2006-01-02T05:00:00+0000,news analysis: putin's russia turns trade into a political weapon,,World,https://www.nytimes.com/2006/01/02/world/europe/news-analysis-putins-russia-turns-trade-into-a-political-weapon.html
2006-01-02T05:00:00+0000,"bank of america, absorbing mbna, is no. 1 in credit cards","the bank of america corporation became the nation's no. 1 credit card issuer yesterday as it completed its $34.2 billion acquisition of the mbna corporation.      the second-biggest bank in the united states by assets, bank of america completed the purchase after receiving approval from shareholders and regulators.  ",Business Day,https://www.nytimes.com/2006/01/02/business/bank-of-america-absorbing-mbna-is-no-1-in-credit-cards.html
2006-01-02T05:00:00+0000,crystal balls reveal a (mostly) rosy future for stocks,,Business Day,https://www.nytimes.com/2006/01/02/business/worldbusiness/crystal-balls-reveal-a-mostly-rosy-future-for-stocks.html
2006-01-02T05:00:00+0000,roh shuffles cabinet before election,,World,https://www.nytimes.com/2006/01/02/world/asia/roh-shuffles-cabinet-before-election.html
2006-01-02T05:00:00+0000,"taiwan chief seeks more arms, not better ties to china","president chen shui-bian of taiwan called sunday for increased arms purchases and warned against greater economic ties to mainland china, in a televised speech that silenced months of speculation that he might soon seek to improve relations across the taiwan strait.     the speech was mr. chen's first major policy address since his democratic progressive party fared badly in islandwide municipal elections on dec. 3. his party favors greater political independence from the mainland.  ",World,https://www.nytimes.com/2006/01/02/world/asia/taiwan-chief-seeks-more-arms-not-better-ties-to-china.html
2006-01-02T05:00:00+0000,iraqi aide resigns as oil output plunges,,World,https://www.nytimes.com/2006/01/02/world/africa/iraqi-aide-resigns-as-oil-output-plunges.html
2006-01-02T05:00:00+0000,china's youth look to seoul for inspiration,"at korea city, on the top floor of the xidan shopping center, a warren of tiny shops sell hip-hop clothes, movies, music, cosmetics and other offerings in the south korean style.     to young chinese shoppers, it seemed not to matter that some of the products, like new york yankees caps or japan's astro boy dolls, clearly have little to do with south korea. or that most items originated, in fact, in chinese factories.  ",World,https://www.nytimes.com/2006/01/02/world/asia/chinas-youth-look-to-seoul-for-inspiration.html
2006-01-03T05:00:00+0000,dwindling debt boosts argentine leader,"just four years ago, argentina's economy was prostrate and its politics in chaos, after a financial crisis resulted in bank deposits being frozen, the government defaulting on more than $100 billion in debt and five presidents holding office in two weeks. but on tuesday, the country is expected to pay off the last of its debt to the international monetary fund and simply walk away from further negotiations with the group.     argentina still owes tens of billions to private lenders, even after a debt restructuring in march. but the $9.8 billion payment is an important symbolic milestone and just one of several recent signs that president néstor kirchner appears to be concentrating more power in his own hands and steering his government to the left. since a midterm election victory in october, mr. kirchner has also moved to establish an alliance with venezuela's populist leader, hugo chávez, and, as a traditional peronist, to extend the hand of the state deeper into the economy, the judiciary and the news media.  ",World,https://www.nytimes.com/2006/01/03/world/americas/dwindling-debt-boosts-argentine-leader.html
2006-01-03T05:00:00+0000,palestinian election campaign begins,,World,https://www.nytimes.com/2006/01/03/world/africa/palestinian-election-campaign-begins.html
2006-01-03T05:00:00+0000,serbia praised over trials of alleged war criminals,,World,https://www.nytimes.com/2006/01/03/world/europe/serbia-praised-over-trials-of-alleged-war-criminals.html
2006-01-03T05:00:00+0000,china's plans for energy suffer a capitalist setback,,Business Day,https://www.nytimes.com/2006/01/03/business/worldbusiness/chinas-plans-for-energy-suffer-a-capitalist-setback.html
2006-01-03T05:00:00+0000,fed indicates it will soon stop raising rates,"the federal reserve is setting the stage for ending its 18-month campaign of raising interest rates, according to minutes from its december meeting.",Business Day,https://www.nytimes.com/2006/01/03/business/fed-indicates-it-will-soon-stop-raising-rates.html
