USD,OIL,VIX,YieldSpread,InfExpectation,FinStress,FedFundsRate,FedBalanceSheet,CPI,PPI,Consumer_Confidence,DateKey
119.4455,60.3,18.84,0.7,2.33,-0.7114,3.64,6584580.0,326.588,263.485,56.4,20260119
119.4455,60.3,20.09,0.7,2.33,-0.7114,3.64,6584580.0,326.588,263.485,56.4,20260120
119.3431,60.38,16.9,0.66,2.34,-0.7114,3.64,6584580.0,326.588,263.485,56.4,20260121
119.1962,59.24,15.64,0.65,2.31,-0.7114,3.64,6584580.0,326.588,263.485,56.4,20260122
118.8976,60.7,16.09,0.64,2.32,-0.7114,3.64,6584580.0,326.588,263.485,56.4,20260123
118.0525,60.46,16.15,0.66,2.32,-0.7114,3.64,6584580.0,326.588,263.485,56.4,20260126
117.4523,62.04,16.35,0.71,2.34,-0.7114,3.64,6584580.0,326.588,263.485,56.4,20260127
117.5117,62.75,16.35,0.7,2.36,-0.7114,3.64,6587568.0,326.588,263.485,56.4,20260128
117.4396,64.77,16.88,0.71,2.35,-0.7114,3.64,6587568.0,326.588,263.485,56.4,20260129
117.8996,64.5,17.44,0.74,2.36,-0.6779,3.64,6587568.0,326.588,263.485,56.4,20260130
118.3609,61.6,16.34,0.72,2.35,-0.6779,3.64,6587568.0,327.46,269.296,56.6,20260202
117.9764,62.62,18.0,0.71,2.36,-0.6779,3.64,6587568.0,327.46,269.296,56.6,20260203
118.2602,64.56,18.64,0.72,2.35,-0.6779,3.64,6605909.0,327.46,269.296,56.6,20260204
118.5034,62.9,21.77,0.74,2.32,-0.6779,3.64,6605909.0,327.46,269.296,56.6,20260205
118.2407,63.77,17.76,0.72,2.34,-0.6553,3.64,6605909.0,327.46,269.296,56.6,20260206
117.6392,64.53,17.36,0.74,2.35,-0.6553,3.64,6605909.0,327.46,269.296,56.6,20260209
117.5216,64.2,17.79,0.71,2.32,-0.6553,3.64,6605909.0,327.46,269.296,56.6,20260210
117.4601,64.8,17.65,0.66,2.32,-0.6553,3.64,6622382.0,327.46,269.296,56.6,20260211
117.5376,63.08,20.82,0.62,2.29,-0.6553,3.64,6622382.0,327.46,269.296,56.6,20260212
117.5258,63.05,20.6,0.64,2.27,-0.6203,3.64,6622382.0,327.46,269.296,56.6,20260213
117.5258,63.05,21.2,0.64,2.27,-0.6203,3.64,6622382.0,327.46,269.296,56.6,20260216
117.7375,62.53,20.29,0.62,2.26,-0.6203,3.64,6622382.0,327.46,269.296,56.6,20260217
117.8426,65.33,19.62,0.62,2.29,-0.6203,3.64,6613395.0,327.46,269.296,56.6,20260218
118.2354,66.66,20.23,0.61,2.29,-0.6203,3.64,6613395.0,327.46,269.296,56.6,20260219
117.9917,66.69,19.09,0.6,2.28,-0.4879,3.64,6613395.0,327.46,269.296,56.6,20260220
117.9395,66.36,21.01,0.6,2.26,-0.4879,3.64,6613395.0,327.46,269.296,56.6,20260223
117.9463,65.62,19.55,0.61,2.26,-0.4879,3.64,6613395.0,327.46,269.296,56.6,20260224
117.769,65.3,17.93,0.6,2.28,-0.4879,3.64,6613797.0,327.46,269.296,56.6,20260225
117.9042,65.1,18.63,0.6,2.28,-0.4879,3.64,6613797.0,327.46,269.296,56.6,20260226
117.8223,66.96,19.86,0.59,2.25,-0.4429,3.64,6613797.0,327.46,269.296,56.6,20260227
118.667,71.13,21.44,0.58,2.29,-0.4429,3.64,6613797.0,330.293,274.102,56.6,20260302
119.4341,74.48,23.57,0.55,2.29,-0.4429,3.64,6613797.0,330.293,274.102,56.6,20260303
119.0705,74.58,21.15,0.55,2.29,-0.4429,3.64,6628894.0,330.293,274.102,56.6,20260304
119.5683,80.88,23.75,0.56,2.31,-0.4429,3.64,6628894.0,330.293,274.102,56.6,20260305
119.491,90.77,29.49,0.59,2.35,-0.4286,3.64,6628894.0,330.293,274.102,56.6,20260306
119.5151,94.65,25.5,0.56,2.34,-0.4286,3.64,6628894.0,330.293,274.102,56.6,20260309
118.7255,83.71,24.93,0.58,2.33,-0.4286,3.64,6628894.0,330.293,274.102,56.6,20260310
119.2885,86.8,24.23,0.57,2.36,-0.4286,3.64,6646344.0,330.293,274.102,56.6,20260311
119.8227,95.61,27.29,0.51,2.38,-0.4286,3.64,6646344.0,330.293,274.102,56.6,20260312
120.5518,98.48,27.19,0.55,2.36,-0.2988,3.64,6646344.0,330.293,274.102,56.6,20260313
120.097,93.39,23.51,0.55,2.36,-0.2988,3.64,6646344.0,330.293,274.102,56.6,20260316
119.8328,96.01,22.37,0.52,2.37,-0.2988,3.64,6646344.0,330.293,274.102,56.6,20260317
119.9276,96.12,25.09,0.5,2.4,-0.2988,3.64,6655939.0,330.293,274.102,56.6,20260318
120.1802,96.11,24.06,0.46,2.37,-0.2988,3.64,6655939.0,330.293,274.102,56.6,20260319
120.2757,98.71,26.78,0.51,2.38,-0.3671,3.64,6655939.0,330.293,274.102,56.6,20260320
119.9371,89.33,26.15,0.51,2.33,-0.3671,3.64,6655939.0,330.293,274.102,56.6,20260323
120.1295,93.18,26.95,0.49,2.33,-0.3671,3.64,6655939.0,330.293,274.102,56.6,20260324
120.1282,91.51,25.33,0.49,2.31,-0.3671,3.64,6657161.0,330.293,274.102,56.6,20260325
120.389,96.18,27.44,0.46,2.34,-0.3671,3.64,6657161.0,330.293,274.102,56.6,20260326
120.8851,101.26,31.05,0.56,2.31,-0.1818,3.64,6657161.0,330.293,274.102,56.6,20260327
121.2851,104.69,30.61,0.53,2.31,-0.1818,3.64,6657161.0,330.293,274.102,56.6,20260330
121.035,102.86,25.25,0.51,2.3,-0.1818,3.64,6657161.0,330.293,274.102,56.6,20260331
120.1198,101.9,24.54,0.52,2.31,-0.1818,3.64,6675344.0,330.293,274.102,56.6,20260401
120.503,113.23,23.87,0.52,2.34,-0.1818,3.64,6675344.0,330.293,274.102,56.6,20260402
120.6565,113.23,23.87,0.51,2.36,-0.241,3.64,6675344.0,330.293,274.102,56.6,20260403
120.4302,114.01,24.17,0.5,2.36,-0.241,3.64,6675344.0,330.293,274.102,56.6,20260406
120.32,114.58,25.78,0.52,2.37,-0.241,3.64,6675344.0,330.293,274.102,56.6,20260407
119.0596,96.17,21.04,0.5,2.33,-0.241,3.64,6693871.0,330.293,274.102,56.6,20260408
118.8998,99.62,19.49,0.51,2.34,-0.241,3.64,6693871.0,330.293,274.102,56.6,20260409
118.8552,98.34,19.23,0.5,2.36,-0.6475,3.64,6693871.0,330.293,274.102,56.6,20260410
118.8552,100.72,19.12,0.52,2.38,-0.6475,3.64,6693871.0,330.293,274.102,56.6,20260413
118.8552,100.72,18.36,0.5,2.37,-0.6475,3.64,6693871.0,330.293,274.102,56.6,20260414
118.8552,100.72,18.17,0.53,2.39,-0.6475,3.64,6705696.0,330.293,274.102,56.6,20260415
118.8552,100.72,17.94,0.54,2.39,-0.6475,3.64,6705696.0,330.293,274.102,56.6,20260416
118.8552,100.72,17.94,0.55,2.36,-0.6475,3.64,6705696.0,330.293,274.102,56.6,20260417
