model,train_acc,val_acc,val_f1,test_acc,test_f1,roc_auc,mae,brier,mape
XGBoost,0.7528462755909532,0.49104401228249744,0.5226781857451404,0.553409090909091,0.6469002695417789,0.5356779967325458,0.4898456931114197,0.2505917549133301,24777.939445352687
Majority class,0.5209577781181396,0.5396622313203685,0.7010137942496261,0.5435606060606061,0.7042944785276074,0.5,0.4564393939393939,0.4564393939393939,45643.93939393939
MLP,0.6501761372338796,0.5025588536335721,0.577391304347826,0.5348484848484848,0.6505406943653955,0.5188884872843986,0.4792155239295158,0.2930776358597412,28894.441352698304
1D-CNN,0.5158095631093,0.5161812297734628,0.6356620633631194,0.5237704918032787,0.6170072511535926,0.504785273086212,0.4987352788448334,0.25023919343948364,23356.64491784988
LightGBM,0.8828304487670393,0.4992323439099284,0.5111166625031227,0.5178030303030303,0.5620915032679739,0.5131204186967773,0.49627837127707586,0.25840436052301796,23408.68261569865
GRU,0.537989374323,0.5159115426105717,0.5995984831585992,0.5168032786885246,0.593868411987599,0.5010861633208192,0.49916380643844604,0.2505333423614502,23609.369443358213
Hybrid CNN+LSTM,0.5596017950172796,0.5393743257820928,0.6695046439628483,0.5139344262295082,0.4883520276100086,0.5259302894158592,0.4990979731082916,0.25283798575401306,21937.484727154988
Random Forest,0.7440138867616276,0.48797338792221084,0.5089570552147239,0.5037878787878788,0.5137342242019303,0.5040883658392008,0.49990766411580145,0.2506099400172461,22718.29457968195
LSTM,0.6009181410223345,0.5134843581445523,0.5831792975970426,0.5008196721311475,0.5690021231422505,0.5063445193727306,0.49448293447494507,0.2632526755332947,24910.05117483376
Logistic Regression,0.5348955940164395,0.49283520982599793,0.4775962045334739,0.49772727272727274,0.4915644171779141,0.5003351309150318,0.4992498624049881,0.25910663540780426,22047.721601165988
