model,stock_type,acc,n
GRU,EQUITY,0.5220338983050847,34810
LightGBM,EQUITY,0.5204563544706818,37690
XGBoost,EQUITY,0.5157336163438578,37690
LSTM,EQUITY,0.514220051709279,34810
Random Forest,EQUITY,0.5099761209869992,37690
MLP,EQUITY,0.5071637039002388,37690
CNN+LSTM,EQUITY,0.5048836541223787,34810
Majority class,EQUITY,0.5046962058901565,37690
1D-CNN,EQUITY,0.49462798046538353,34810
Logistic Regression,EQUITY,0.4917219421597241,37690
GRU,ETF,0.5413521221271599,5961
XGBoost,ETF,0.5350564928029716,6461
Majority class,ETF,0.5287107258938245,6461
LightGBM,ETF,0.5222101841820151,6461
CNN+LSTM,ETF,0.5218922999496729,5961
MLP,ETF,0.5181860393127998,6461
LSTM,ETF,0.5133366884750881,5961
Random Forest,ETF,0.5050301810865191,6461
Logistic Regression,ETF,0.48846927720167155,6461
1D-CNN,ETF,0.4875020969635967,5961
GRU,INDEX,0.5414498785986819,2883
LSTM,INDEX,0.539715574054804,2883
XGBoost,INDEX,0.5238552673711175,3123
Random Forest,INDEX,0.52129362792187,3123
Majority class,INDEX,0.5203330131284022,3123
1D-CNN,INDEX,0.5171696149843913,2883
LightGBM,INDEX,0.5164905539545309,3123
MLP,INDEX,0.5142491194364394,3123
CNN+LSTM,INDEX,0.5130072840790842,2883
Logistic Regression,INDEX,0.47166186359269935,3123
